label	runs	cpu_mean	cpu_std	cpu_min	wall_mean	wall_min	peak_mb	findings	digest	load1
FINAL-base-wazero/gitlab-foss	4	1369.93	1.46	1368.87	55.265	52.762	8235	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	51.37
FINAL-base-cgo/git	4	83.09	0.31	82.69	4.295	4.227	2284	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	25.03
FINAL-base-cgo/cpython	4	359.54	0.47	358.95	57.316	57.222	4845	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	9.27
FINAL-base-cgo/gitlab-foss	4	1315.63	1.25	1314.23	50.376	50.136	7947	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	45.27
FINAL-lab-wazero/git	4	84.52	0.23	84.20	4.328	4.275	2049	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	23.66
FINAL-lab-wazero/cpython	4	316.90	0.35	316.66	34.545	34.379	4899	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	17.27
FINAL-lab-wazero/gitlab-foss	4	1342.51	1.00	1341.57	53.259	52.961	8125	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	49.08
FINAL-lab-cgo/git	4	82.73	0.17	82.53	4.350	4.333	2382	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	25.00
FINAL-lab-cgo/cpython	4	311.27	0.39	310.68	34.299	34.158	4852	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	16.52
FINAL-lab-cgo/gitlab-foss	4	1297.90	0.56	1297.01	50.871	50.534	7938	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	43.00
FINAL-lab-ahoc-wazero/git	4	85.37	0.40	84.81	5.089	4.492	2224	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	27.70
FINAL-lab-ahoc-wazero/cpython	4	310.87	0.58	310.08	30.245	29.972	4911	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	18.07
FINAL-lab-ahoc-wazero/gitlab-foss	4	1355.87	0.76	1354.68	53.203	52.200	8172	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	48.56
FINAL-lab-ahoc-cgo/git	4	83.23	0.15	83.01	4.332	4.224	2215	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	23.69
FINAL-lab-ahoc-cgo/cpython	4	304.55	0.19	304.24	29.808	29.721	4827	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	19.66
FINAL-lab-ahoc-cgo/gitlab-foss	4	1310.16	0.60	1309.29	50.335	50.009	7866	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	43.82
occrec-wazero/git	3	84.43	0.05	84.36	4.181	4.175	1954	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	10.35
occrec-wazero/cpython	3	316.03	0.24	315.68	33.845	33.778	4910	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	16.06
occrec-wazero/gitlab-foss	3	1333.33	0.48	1332.99	50.904	50.361	8107	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	47.56
occrec-cgo/git	3	82.72	0.20	82.50	4.133	4.079	2242	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	16.62
occrec-cgo/cpython	3	310.31	0.21	310.03	33.261	33.162	4831	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	12.59
occrec-cgo/gitlab-foss	3	1289.27	0.60	1288.66	48.699	48.622	7904	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	42.39
pbz2-wazero/git	3	83.78	0.24	83.57	4.204	4.132	2220	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	13.05
